&l / nm	I_1 / %
339,5	0,0
339,9	5,8
340,3	7,7
340,7	7,8
341,0	7,9
341,4	8,0
341,8	7,9
342,2	7,9
342,6	8,0
342,9	8,0
343,3	7,9
343,7	7,9
344,1	7,8
344,4	7,8
344,8	7,9
345,2	7,9
345,6	7,9
346,0	7,9
346,3	7,9
346,7	7,9
347,1	7,9
347,5	8,0
347,8	8,0
348,2	8,0
348,6	8,0
349,0	8,0
349,4	8,1
349,7	8,1
350,1	8,0
350,5	8,0
350,9	8,0
351,2	8,0
351,6	8,0
352,0	8,0
352,4	8,0
352,7	7,9
353,1	7,9
353,5	8,0
353,9	8,0
354,3	8,0
354,6	8,0
355,0	8,0
355,4	8,0
355,8	8,0
356,1	8,0
356,5	8,0
356,9	8,0
357,3	8,0
357,6	8,0
358,0	8,0
358,4	8,1
358,8	8,0
359,1	8,0
359,5	8,0
359,9	8,0
360,3	8,0
360,7	8,0
361,0	8,1
361,4	8,1
361,8	8,0
362,2	8,0
362,5	8,1
362,9	8,1
363,3	8,0
363,7	8,0
364,0	8,0
364,4	8,0
364,8	8,0
365,2	8,1
365,5	8,1
365,9	8,1
366,3	8,0
366,7	8,0
367,0	8,0
367,4	8,0
367,8	8,0
368,2	8,0
368,5	8,0
368,9	8,0
369,3	8,0
369,7	8,0
370,0	8,0
370,4	8,0
370,8	8,1
371,2	8,1
371,5	8,1
371,9	8,0
372,3	8,0
372,7	8,0
373,0	8,1
373,4	8,0
373,8	8,0
374,2	8,0
374,5	8,1
374,9	8,1
375,3	8,1
375,7	8,0
376,0	8,0
376,4	8,0
376,8	8,1
377,2	8,1
377,5	8,0
377,9	8,0
378,3	8,1
378,7	8,1
379,0	8,1
379,4	8,0
379,8	8,1
380,1	8,2
380,5	8,1
380,9	8,1
381,3	8,1
381,6	8,1
382,0	8,2
382,4	8,3
382,8	8,3
383,1	8,3
383,5	8,3
383,9	8,3
384,3	8,2
384,6	8,2
385,0	8,2
385,4	8,2
385,8	8,2
386,1	8,1
386,5	8,1
386,9	8,2
387,2	8,3
387,6	8,5
388,0	8,9
388,4	10,5
388,7	14,7
389,1	20,6
