&l / nm	N\AI_1 / %	N\AI_1 / %	I_1 / %
339,5	0,0	0,0	0,0
339,9	6,4	6,3	6,0
340,3	8,5	8,3	8,1
340,7	8,5	8,2	8,2
341,0	8,6	8,3	8,3
341,4	8,6	8,5	8,3
341,8	8,5	8,5	8,2
342,2	8,5	8,4	8,2
342,6	8,5	8,4	8,2
342,9	8,5	8,4	8,3
343,3	8,6	8,5	8,3
343,7	8,6	8,4	8,3
344,1	8,6	8,4	8,3
344,4	8,5	8,4	8,3
344,8	8,6	8,4	8,4
345,2	8,7	8,5	8,4
345,6	8,7	8,5	8,4
346,0	8,6	8,5	8,4
346,3	8,6	8,5	8,3
346,7	8,6	8,4	8,3
347,1	8,6	8,4	8,3
347,5	8,6	8,4	8,4
347,8	8,7	8,4	8,3
348,2	8,6	8,4	8,3
348,6	8,6	8,5	8,5
349,0	8,5	8,5	8,9
349,4	8,5	8,5	9,2
349,7	8,6	8,4	9,3
350,1	8,7	8,4	9,2
350,5	8,7	8,4	9,2
350,9	8,6	8,5	9,3
351,2	8,6	8,5	9,3
351,6	8,6	8,4	9,3
352,0	8,6	8,4	9,3
352,4	8,6	8,5	9,4
352,7	8,6	8,5	9,3
353,1	8,6	8,5	9,4
353,5	8,6	8,5	9,4
353,9	8,6	8,5	9,5
354,3	8,6	8,5	9,5
354,6	8,6	8,5	9,4
355,0	8,7	8,4	9,4
355,4	8,6	8,4	9,4
355,8	8,6	8,4	9,4
356,1	8,7	8,5	9,5
356,5	8,7	8,5	9,4
356,9	8,7	8,5	9,4
357,3	8,7	8,5	9,4
357,6	8,6	8,5	9,5
358,0	8,7	8,4	9,4
358,4	8,7	8,4	9,4
358,8	8,6	8,4	9,4
359,1	8,6	8,5	9,5
359,5	8,6	8,5	9,5
359,9	8,6	8,4	9,6
360,3	8,7	8,4	9,7
360,7	8,7	8,5	9,6
361,0	8,6	8,6	9,5
361,4	8,6	8,5	9,6
361,8	8,6	8,5	9,6
362,2	8,6	8,5	9,6
362,5	8,6	8,6	9,6
362,9	8,6	8,6	9,7
363,3	8,7	8,5	9,7
363,7	8,6	8,5	9,7
364,0	8,7	8,5	9,7
364,4	8,6	8,5	9,7
364,8	8,6	8,5	9,6
365,2	8,6	8,4	9,6
365,5	8,6	8,5	9,7
365,9	8,7	8,5	9,7
366,3	8,7	8,5	9,8
366,7	8,7	8,5	9,7
367,0	8,7	8,5	9,7
367,4	8,7	8,6	9,7
367,8	8,6	8,5	9,8
368,2	8,6	8,5	9,8
368,5	8,7	8,5	9,8
368,9	8,7	8,5	9,7
369,3	8,7	8,5	9,8
369,7	8,7	8,5	9,8
370,0	8,7	8,4	9,7
370,4	8,6	8,4	9,7
370,8	8,6	8,6	9,7
371,2	8,6	8,6	9,7
371,5	8,7	8,5	9,6
371,9	8,7	8,5	9,6
372,3	8,7	8,5	9,6
372,7	8,7	8,5	9,6
