&l / nm	I_1 / %
339,5	0,0
339,9	5,9
340,3	7,8
340,7	7,8
341,0	7,9
341,4	7,9
341,8	7,9
342,2	7,9
342,6	7,9
342,9	7,9
343,3	7,9
343,7	8,0
344,1	8,0
344,4	8,1
344,8	8,1
345,2	8,1
345,6	8,1
346,0	8,0
346,3	8,0
346,7	8,0
347,1	8,0
347,5	8,1
347,8	8,0
348,2	7,9
348,6	8,1
349,0	8,3
349,4	8,3
349,7	8,2
350,1	8,2
350,5	8,1
350,9	8,2
351,2	8,3
351,6	8,4
352,0	8,6
352,4	8,7
352,7	8,8
353,1	8,9
353,5	8,9
353,9	8,6
354,3	8,3
354,6	8,2
355,0	8,1
355,4	8,1
355,8	8,1
356,1	8,1
356,5	8,0
356,9	8,0
357,3	8,0
357,6	8,1
358,0	8,1
358,4	8,1
358,8	8,2
359,1	8,3
359,5	8,4
359,9	8,5
360,3	8,6
360,7	8,7
361,0	8,6
361,4	8,5
361,8	8,3
362,2	8,2
362,5	8,2
362,9	8,2
363,3	8,2
363,7	8,1
364,0	8,1
364,4	8,2
364,8	8,2
365,2	8,2
365,5	8,1
365,9	8,1
366,3	8,1
366,7	8,1
367,0	8,1
367,4	8,1
367,8	8,1
368,2	8,1
368,5	8,1
368,9	8,1
369,3	8,1
369,7	8,2
370,0	8,2
370,4	8,2
370,8	8,2
371,2	8,2
371,5	8,2
371,9	8,1
372,3	8,1
372,7	8,1
373,0	8,1
373,4	8,0
373,8	8,0
374,2	8,0
374,5	8,1
374,9	8,1
375,3	8,2
375,7	8,1
376,0	8,1
376,4	8,1
376,8	8,1
377,2	8,1
377,5	8,1
377,9	8,1
378,3	8,1
378,7	8,1
379,0	8,1
379,4	8,1
379,8	8,2
380,1	8,1
380,5	8,1
380,9	8,2
381,3	8,1
381,6	8,1
382,0	8,1
382,4	8,1
382,8	8,1
383,1	8,1
383,5	8,1
383,9	8,0
384,3	8,0
384,6	8,1
385,0	8,2
385,4	8,2
385,8	8,2
386,1	8,1
386,5	8,1
386,9	8,2
387,2	8,1
387,6	8,2
388,0	8,2
388,4	8,2
388,7	8,2
