&l / nm	I_1 / %
339,5	0,0
339,9	5,7
340,3	7,7
340,7	7,7
341,0	7,8
341,4	7,8
341,8	7,9
342,2	7,9
342,6	8,0
342,9	8,0
343,3	8,0
343,7	8,0
344,1	7,9
344,4	7,9
344,8	8,0
345,2	8,0
345,6	7,9
346,0	7,9
346,3	8,0
346,7	8,0
347,1	7,9
347,5	7,9
347,8	7,9
348,2	7,9
348,6	7,9
349,0	8,1
349,4	8,0
349,7	8,0
350,1	8,0
350,5	8,1
350,9	8,0
351,2	8,1
351,6	8,1
352,0	8,1
352,4	8,1
352,7	8,1
353,1	8,1
353,5	8,1
353,9	8,1
354,3	8,1
354,6	8,1
355,0	8,1
355,4	8,1
355,8	8,1
356,1	8,1
356,5	8,1
356,9	8,1
357,3	8,1
357,6	8,1
358,0	8,2
358,4	8,2
358,8	8,1
359,1	8,1
359,5	8,1
359,9	8,2
360,3	8,1
360,7	8,1
361,0	8,2
361,4	8,3
361,8	8,3
362,2	8,3
362,5	8,2
362,9	8,1
363,3	8,0
363,7	8,0
364,0	8,0
364,4	8,1
364,8	8,2
365,2	8,2
365,5	8,2
365,9	8,2
366,3	8,2
366,7	8,2
367,0	8,1
367,4	8,1
367,8	8,1
368,2	8,2
368,5	8,2
368,9	8,2
369,3	8,2
369,7	8,2
370,0	8,2
370,4	8,2
370,8	8,1
371,2	8,2
371,5	8,2
371,9	8,2
372,3	8,1
372,7	8,1
373,0	8,2
373,4	8,2
373,8	8,1
374,2	8,1
374,5	8,1
374,9	8,1
375,3	8,2
375,7	8,3
376,0	8,2
376,4	8,2
376,8	8,2
377,2	8,2
377,5	8,1
377,9	8,1
378,3	8,1
378,7	8,2
379,0	8,2
379,4	8,2
379,8	8,2
380,1	8,2
380,5	8,2
380,9	8,1
381,3	8,2
381,6	8,2
382,0	8,2
382,4	8,2
382,8	8,2
383,1	8,2
383,5	8,2
383,9	8,2
384,3	8,3
384,6	8,3
385,0	8,2
385,4	8,1
385,8	8,2
386,1	8,3
386,5	8,2
386,9	8,2
387,2	8,2
387,6	8,2
388,0	8,1
388,4	8,1
388,7	8,1
389,1	8,2
389,5	8,2
389,9	8,4
390,2	8,5
390,6	8,4
391,0	8,3
391,3	8,3
391,7	8,2
392,1	8,2
392,5	8,2
392,8	8,2
393,2	8,2
393,6	8,2
394,0	8,2
394,3	8,2
394,7	8,2
395,1	8,2
395,4	8,2
395,8	8,2
396,2	8,3
396,6	8,4
396,9	8,4
397,3	8,3
397,7	8,3
398,0	8,3
398,4	8,3
398,8	8,3
399,2	8,3
399,5	8,3
399,9	8,3
400,3	8,3
400,7	8,2
401,0	8,2
401,4	8,1
401,8	8,1
402,1	8,1
402,5	8,2
402,9	8,2
403,3	8,1
403,6	8,1
404,0	8,2
404,4	8,2
404,7	8,3
405,1	8,2
405,5	8,2
405,9	8,2
406,2	8,1
406,6	8,1
407,0	8,2
407,3	8,3
407,7	8,3
408,1	8,3
408,4	8,4
408,8	8,4
409,2	8,4
409,6	8,4
409,9	8,3
410,3	8,3
410,7	8,3
411,0	8,3
411,4	8,3
411,8	8,3
412,2	8,3
412,5	8,4
412,9	8,3
413,3	8,3
413,6	8,3
414,0	8,3
414,4	8,3
414,7	8,3
415,1	8,2
415,5	8,2
415,9	8,2
416,2	8,2
416,6	8,3
417,0	8,3
417,3	8,3
417,7	8,2
418,1	8,2
418,4	8,2
418,8	8,3
419,2	8,2
419,6	8,2
419,9	8,3
420,3	8,3
420,7	8,3
421,0	8,3
421,4	8,3
421,8	8,3
422,1	8,4
422,5	8,3
422,9	8,3
423,2	8,3
423,6	8,3
424,0	8,3
424,4	8,2
424,7	8,2
425,1	8,2
425,5	8,2
425,8	8,2
426,2	8,3
426,6	8,3
426,9	8,2
427,3	8,2
427,7	8,2
428,0	8,3
428,4	8,3
428,8	8,3
429,1	8,3
429,5	8,3
429,9	8,3
430,3	8,2
430,6	8,2
431,0	8,3
431,4	8,2
431,7	8,2
432,1	8,2
432,5	8,3
432,8	8,3
433,2	8,3
433,6	8,3
433,9	8,3
434,3	8,2
434,7	8,2
435,0	8,3
435,4	8,2
435,8	8,2
436,1	8,2
436,5	8,2
436,9	8,2
437,2	8,3
437,6	8,2
438,0	8,1
438,3	8,2
438,7	8,3
439,1	8,4
439,5	8,3
439,8	8,2
440,2	8,2
440,6	8,2
440,9	8,3
441,3	8,3
441,7	8,3
442,0	8,3
442,4	8,2
